Crime_ID,Date_Reported,State,City,Crime_Type,Severity,Victim_Age,Victim_Gender,Reported_By,Arrest_Made,Suspect_Age,Suspect_Gender,Outcome,Officer_ID,Response_Time
1,2021-10-30,Kano,Ungogo,Burglary,3,51,Male,Police,No,,,Closed,OFF3775,58
2,2020-11-27,Oyo,Iseyin,Theft,1,73,Male,Citizen,Yes,24.0,Male,Closed,OFF6358,177
3,2020-05-19,Ogun,Ijebu Ode,Robbery,3,66,Female,Media,Yes,61.0,Male,Closed,OFF2538,79
4,2020-09-21,Lagos,Lekki,Assault,3,22,Female,Police,No,,,In Court,OFF4485,38
5,2020-03-19,Lagos,Yaba,Robbery,5,34,Female,Police,Yes,41.0,Male,Open,OFF4163,18
6,2021-07-06,Edo,Auchi,Theft,5,67,Female,Media,Yes,64.0,Male,Closed,OFF5193,20
7,2021-06-07,Enugu,Awgu,Assault,1,31,Female,Media,Yes,22.0,Female,Open,OFF8773,104
8,2020-03-24,Lagos,Yaba,Theft,2,46,Male,Citizen,No,,,Open,OFF5807,11
9,2022-08-26,Kaduna,Kafanchan,Fraud,5,75,Male,Police,Yes,21.0,Female,In Court,OFF9081,142
10,2020-08-04,Ogun,Ijebu Ode,Robbery,1,20,Female,Media,Yes,35.0,Female,In Court,OFF3677,71
11,2022-02-04,Delta,Warri,Burglary,1,40,Female,Police,No,,,Open,OFF8887,109
12,2020-07-09,Ogun,Sagamu,Robbery,5,21,Male,Citizen,No,,,Open,OFF3337,9
13,2021-05-26,Delta,Asaba,Homicide,3,26,Male,Media,No,,,Open,OFF4021,47
14,2020-12-04,Abuja,Wuse,Burglary,4,77,Female,Media,No,,,Open,OFF8635,35
15,2020-10-21,Rivers,Bonny,Burglary,3,54,Female,Police,No,,,Closed,OFF2296,146
16,2020-05-04,Enugu,Nsukka,Fraud,4,63,Male,Citizen,No,,,In Court,OFF1676,125
17,2020-02-09,Abuja,Wuse,Theft,2,39,Male,Media,Yes,71.0,Male,Open,OFF5816,137
18,2021-02-16,Rivers,Port Harcourt,Theft,1,51,Female,Media,No,,,Open,OFF4480,166
19,2020-08-16,Edo,Ekpoma,Fraud,2,28,Male,Media,No,,,Open,OFF2872,125
20,2020-03-26,Delta,Ughelli,Homicide,1,65,Female,Citizen,Yes,35.0,Female,Closed,OFF6965,174
21,2022-05-04,Kaduna,Zaria,Fraud,1,46,Male,Media,No,,,In Court,OFF9432,120
22,2021-09-02,Ogun,Sagamu,Assault,5,26,Female,Media,No,,,Open,OFF2688,40
23,2022-01-25,Delta,Ughelli,Homicide,4,48,Male,Media,Yes,64.0,Female,Closed,OFF8583,151
24,2020-11-06,Lagos,Lekki,Assault,5,72,Male,Police,No,,,In Court,OFF7267,73
25,2021-06-01,Delta,Warri,Homicide,4,60,Female,Media,No,,,Closed,OFF2343,170
26,2021-01-24,Kaduna,Zaria,Homicide,5,41,Female,Police,No,,,In Court,OFF4332,26
27,2021-11-16,Edo,Auchi,Burglary,3,40,Female,Police,No,,,In Court,OFF9208,70
28,2022-01-28,Enugu,Nsukka,Theft,5,27,Male,Citizen,Yes,29.0,Male,Open,OFF2611,44
29,2020-11-24,Lagos,Yaba,Robbery,1,79,Female,Police,No,,,In Court,OFF5438,48
30,2020-09-24,Oyo,Ibadan,Fraud,2,63,Female,Citizen,Yes,63.0,Female,In Court,OFF5004,118
31,2021-04-02,Kaduna,Kaduna North,Robbery,1,80,Female,Police,Yes,73.0,Male,Closed,OFF6285,112
32,2021-11-30,Edo,Auchi,Assault,5,74,Male,Citizen,No,,,Closed,OFF5191,152
33,2020-10-06,Edo,Ekpoma,Homicide,2,67,Male,Citizen,No,,,Open,OFF3238,117
34,2022-02-21,Enugu,Nsukka,Fraud,5,54,Female,Police,Yes,15.0,Male,Open,OFF7062,36
35,2021-12-21,Kano,Dala,Burglary,1,66,Male,Citizen,Yes,59.0,Male,Open,OFF4982,87
36,2021-03-29,Abuja,Garki,Assault,3,19,Female,Citizen,No,,,Closed,OFF8925,24
37,2020-08-12,Oyo,Ibadan,Homicide,2,35,Female,Media,No,,,In Court,OFF7184,66
38,2022-08-27,Kaduna,Kafanchan,Homicide,2,58,Male,Citizen,Yes,33.0,Male,In Court,OFF1709,106
39,2021-04-05,Ogun,Abeokuta,Burglary,1,54,Male,Media,No,,,In Court,OFF8246,92
40,2022-02-14,Kaduna,Zaria,Theft,2,49,Female,Police,No,,,Open,OFF4527,77
41,2021-03-07,Ogun,Sagamu,Burglary,2,56,Male,Citizen,Yes,68.0,Male,Closed,OFF8538,159
42,2021-08-21,Rivers,Obio,Fraud,5,34,Male,Citizen,Yes,78.0,Female,In Court,OFF6979,148
43,2021-04-02,Edo,Ekpoma,Burglary,5,55,Female,Police,No,,,Open,OFF3350,169
44,2020-10-15,Abuja,Maitama,Fraud,4,46,Male,Media,Yes,63.0,Female,Closed,OFF4229,160
45,2021-05-13,Kano,Ungogo,Fraud,4,36,Male,Media,No,,,In Court,OFF4763,145
46,2021-06-13,Oyo,Ogbomosho,Assault,1,26,Male,Citizen,Yes,27.0,Female,In Court,OFF4545,83
47,2020-11-04,Lagos,Lekki,Theft,5,80,Male,Media,No,,,In Court,OFF4332,180
48,2020-04-25,Kaduna,Zaria,Burglary,3,66,Female,Citizen,No,,,Closed,OFF4029,153
49,2022-01-19,Lagos,Ikeja,Assault,4,19,Female,Citizen,Yes,58.0,Female,Open,OFF2579,166
50,2022-06-07,Kaduna,Kafanchan,Robbery,5,58,Male,Citizen,Yes,24.0,Male,Open,OFF4792,47
51,2022-06-22,Kaduna,Kaduna North,Theft,5,19,Female,Citizen,Yes,51.0,Male,Open,OFF4742,119
52,2021-03-19,Delta,Asaba,Fraud,3,36,Male,Media,Yes,53.0,Male,In Court,OFF5116,132
53,2021-03-03,Edo,Benin City,Homicide,1,66,Male,Police,No,,,Open,OFF8318,97
54,2020-07-24,Oyo,Ogbomosho,Homicide,1,21,Female,Citizen,Yes,65.0,Female,Open,OFF4515,150
55,2021-04-22,Oyo,Iseyin,Fraud,3,51,Male,Police,Yes,44.0,Male,In Court,OFF2924,27
56,2021-06-09,Kaduna,Kaduna North,Robbery,1,64,Female,Citizen,No,,,In Court,OFF9778,77
57,2021-05-15,Oyo,Iseyin,Fraud,1,48,Female,Citizen,Yes,45.0,Male,Open,OFF8940,141
58,2022-06-23,Kano,Ungogo,Homicide,4,24,Male,Media,No,,,Open,OFF4600,29
59,2020-01-11,Enugu,Enugu East,Homicide,2,29,Female,Citizen,Yes,41.0,Male,Open,OFF6901,79
60,2021-12-15,Delta,Asaba,Burglary,1,62,Female,Police,Yes,38.0,Male,In Court,OFF3217,152
61,2022-02-21,Kaduna,Zaria,Homicide,1,66,Female,Media,No,,,In Court,OFF2625,124
62,2021-03-18,Lagos,Lekki,Homicide,3,41,Male,Police,No,,,Closed,OFF9100,28
63,2022-06-23,Kano,Ungogo,Burglary,2,32,Female,Media,No,,,In Court,OFF2187,157
64,2020-03-20,Kaduna,Zaria,Burglary,3,74,Female,Police,Yes,78.0,Male,In Court,OFF5321,21
65,2022-08-09,Oyo,Ogbomosho,Burglary,1,35,Female,Media,Yes,76.0,Female,Open,OFF8896,25
